insttype,mat_no,mat_unit,start_no,start_unit,tenor_m,quote
deposit,3,MO,,,,0.0195329681184605
future,3,MO,1,MO,,0.0216817075543798
future,3,MO,2,MO,,0.0241934643423191
future,3,MO,3,MO,,0.0263990866244894
future,3,MO,4,MO,,0.0279957696819284
future,3,MO,5,MO,,0.0285802383780694
future,3,MO,6,MO,,0.0290603190024703
future,3,MO,7,MO,,0.0296953469477206
future,3,MO,10,MO,,0.0299961562188265
future,3,MO,13,MO,,0.0293376948349422
future,3,MO,16,MO,,0.0281358357344465
future,3,MO,19,MO,,0.0272465563249375
future,3,MO,22,MO,,0.0262635249061179
irs,3,YR,,,3,0.0269182022861631
irs,4,YR,,,3,0.0262730783594018
irs,5,YR,,,3,0.0257048909048877
irs,6,YR,,,3,0.0258313635072593
irs,7,YR,,,3,0.0258298996314923
irs,8,YR,,,3,0.0259981063107614
irs,9,YR,,,3,0.0261722471062747
irs,10,YR,,,3,0.0263809298923051
irs,11,YR,,,3,0.0264107594437887
irs,12,YR,,,3,0.0266355391463917
irs,15,YR,,,3,0.0266887044881488
irs,20,YR,,,3,0.0249586433926683
irs,25,YR,,,3,0.0230517988958073
irs,30,YR,,,3,0.0211934706439162
irs,40,YR,,,3,0.0188842412292485
irs,50,YR,,,3,0.0174598091408527
